X,Y
356,378
369.5,383.5
384.833,378.167
366.167,234.167
383.5,369.5
383.7304,367.7719
383.9607,366.0438
384.1911,364.3157
384.4214,362.5876
384.6518,360.8595
385.075,359.2177
386.2095,357.8939
387.3441,356.5702
388.4786,355.2465
389.729,354.0366
391.0321,352.8784
392.3351,351.7202
393.6382,350.562
394.7199,349.4095
393.3587,348.3203
391.9975,347.2311
391.5,345.7267
391.5,343.9833
391.7073,342.2571
391.994,340.5375
392.8091,339.2432
394.4279,338.5958
395.021,337.8248
393.6024,336.8114
392.1838,335.798
390.833,334.7497
390.833,333.0063
390.833,331.2629
390.833,329.5196
390.833,327.7762
390.833,326.0328
390.833,324.2894
391.0167,322.6126
392.133,321.2734
393.2492,319.9342
394.4442,318.6944
396.0035,317.9148
397.5628,317.1351
397.5746,315.9445
396.6074,314.494
395.6403,313.0434
394.2058,312.0937
392.692,311.2289
391.1782,310.3642
391.9528,309.4205
393.4034,308.4534
394.854,307.4864
396.3045,306.5193
397.5628,305.3329
398.7108,304.0209
399.8588,302.7088
401.0068,301.3967
401.1854,299.8898
400.2036,298.833
398.4602,298.833
396.7168,298.833
394.9734,298.833
393.2344,298.7847
391.5191,298.4729
389.8038,298.1611
388.0886,297.8493
386.3733,297.5375
385.3162,296.2239
384.349,294.7734
383.5264,293.2888
383.7428,291.5588
383.9591,289.8289
384.1867,288.1014
384.6876,286.4315
385.1886,284.7617
385.6895,283.0918
386.1349,281.4251
385.4482,279.8226
384.7615,278.2202
383.9721,276.7031
382.5214,275.7362
381.0707,274.7693
380.5614,273.6411
381.6073,272.2464
382.6532,270.8516
383.6992,269.4568
384.598,267.9711
385.3776,266.4118
386.1573,264.8524
386.937,263.2931
387.5439,261.6846
387.7018,259.9484
387.8597,258.2122
388.0176,256.476
388.167,254.7394
388.167,252.996
388.167,251.2526
388.4444,249.5386
388.8097,247.8339
389.175,246.1292
389.5403,244.4245
389.9056,242.7199
390.0854,241.0109
389.7987,239.2913
389.5119,237.5716
389.2252,235.852
388.9384,234.1324
388.0035,232.7741
386.6915,231.626
385.3796,230.4778
384.0676,229.3297
382.5404,228.5931
380.8491,228.1704
379.1577,227.7476
377.5477,227.8716
376.0528,228.7685
374.5578,229.6654
373.0628,230.5623
371.5679,231.4593
370.0115,232.2444
368.4522,233.0242
366.893,233.8039
365.4216,233.608
364.0269,232.562
362.6322,231.516
361.2375,230.47
359.8427,229.424
358.448,228.3779
357.0533,227.3319
355.6586,226.2859
354.0341,226.6555
352.3801,227.2067
350.7262,227.7579
349.0722,228.3091
347.4819,228.9173
347.1167,230.622
346.7514,232.3266
346.3861,234.0313
346.0209,235.736
345.6556,237.4407
345.3648,239.1584
345.1292,240.8858
344.8937,242.6132
344.6581,244.3406
344.4225,246.068
344.187,247.7954
343.9514,249.5228
343.7158,251.2502
343.4819,252.9778
343.2657,254.7078
343.0495,256.4377
342.8334,258.1676
342.6172,259.8976
342.401,261.6275
342.1848,263.3574
343.2412,264.6854
344.4118,265.9773
345.5825,267.2692
346.7531,268.5611
347.9238,269.8529
349.0944,271.1448
350.2651,272.4367
351.4357,273.7286
350.7744,274.6208
349.172,275.3076
347.5696,275.9944
345.9167,275.7919
344.2468,275.291
342.577,274.7901
340.9071,274.2891
341.0575,275.3617
341.7948,276.9415
342.5321,278.5213
343.2694,280.1011
344.0067,281.6809
344.744,283.2607
345.4994,284.8318
346.279,286.3911
347.0587,287.9504
347.8384,289.5098
348.618,291.0691
349.2309,292.6789
349.447,294.4089
349.663,296.1388
349.5068,297.322
347.9763,296.4872
346.4458,295.6523
344.9153,294.8175
343.3848,293.9826
341.7645,293.5
340.0211,293.5
338.2777,293.5
336.5343,293.5
336.2435,294.4578
336.9303,296.0602
337.6171,297.6626
338.3038,299.265
338.9906,300.8675
339.6774,302.4699
340.6608,303.8973
341.7312,305.2734
342.8016,306.6495
343.872,308.0256
343.801,309.0078
342.1098,309.4309
340.4185,309.8539
338.7369,310.3104
337.083,310.8617
335.4291,311.413
333.7752,311.9643
333.2886,313.2626
333.4809,314.9953
333.6733,316.7281
334.1021,318.2893
335.6893,319.0106
337.2765,319.7319
338.8636,320.4532
340.4508,321.1745
341.6251,322.3399
342.46,323.8704
343.2948,325.4009
344.1297,326.9314
344.9646,328.4619
343.8802,329.1299
342.1815,329.5219
340.4827,329.9139
338.784,330.306
337.0852,330.698
337.2381,331.7054
338.3642,333.0363
339.4903,334.3673
340.6163,335.6982
341.7424,337.0291
342.8685,338.36
343.9449,339.7237
344.7246,341.283
345.5043,342.8423
346.2841,344.4016
347.0638,345.9609
347.8435,347.5202
348.4402,349.102
348.0621,350.8039
347.684,352.5058
347.3059,354.2077
347.9969,355.5593
349.3089,356.7074
350.6208,357.8555
351.9328,359.0036
352.7719,360.4516
353.2509,362.1279
353.73,363.8041
354.209,365.4804
354.688,367.1567
355.167,368.833
