X,Y
201,185
215,184.5
230,185
181,11.5
231.5,176.5
232.2869,174.92619
233.0738,173.35239
233.8607,171.77858
234.6476,170.20478
235.4345,168.63097
236.2214,167.05716
237.4457,165.8695
238.9098,164.89347
240.3738,163.91744
241.8379,162.94141
243.3019,161.96537
244.766,160.98934
246.0264,159.79808
247.0822,158.39042
248.1379,156.98277
249.1937,155.57511
250.2494,154.16746
251.3051,152.7598
251.9321,151.13179
252.4619,149.45389
252.9918,147.776
253.5217,146.0981
254.0515,144.42021
254.5923,142.74604
255.1937,141.09241
255.795,139.43878
256.3963,137.78515
256.9976,136.13152
257.599,134.47788
258.2003,132.82425
258.5339,131.11814
258.6015,129.35987
258.6692,127.6016
258.7368,125.84334
258.8044,124.08507
258.872,122.3268
258.9397,120.56853
258.9654,118.81329
258.645,117.08314
258.3246,115.35299
258.0042,113.62284
257.6838,111.89268
257.3634,110.16253
257.043,108.43238
256.7226,106.70223
256.4241,104.9685
256.1752,103.22661
255.9264,101.48473
255.6775,99.74284
255.4287,98.00096
255.1799,96.25907
255,94.51229
255,92.75272
255,90.99315
254.8401,89.28687
253.7844,87.87921
252.7287,86.47156
251.6729,85.0639
250.6172,83.65625
250.268,81.95304
250.0069,80.21294
249.7459,78.47284
249.4849,76.73274
249.2239,74.99264
248.7594,73.56874
247.0675,74.05213
245.3757,74.53553
243.6838,75.01892
241.9919,75.50231
240.3001,75.9857
238.6082,76.46909
236.8571,76.61735
235.102,76.74271
233.3469,76.86808
231.5918,76.99344
232.21,75.49122
232.9592,73.89913
233.7085,72.30704
234.4577,70.71495
235.2069,69.12286
235.3329,67.44192
235.0585,65.70388
234.7841,63.96585
234.5097,62.22781
234.2352,60.48977
233.7726,58.89298
232.1805,58.14376
230.5884,57.39454
228.9963,56.64532
227.4042,55.8961
225.8121,55.14688
224.1755,55.4967
222.5279,56.11453
220.8804,56.73235
219.2329,57.35018
217.5853,57.968
217.5595,56.33262
217.6224,54.57417
217.6852,52.81572
217.748,51.05727
217.8108,49.29883
217.8736,47.54038
217.9364,45.78193
217.9992,44.02348
216.2876,44.28541
214.5519,44.57468
212.8163,44.86395
211.9312,44.07053
211.8012,42.31577
211.6712,40.56101
211.5412,38.80625
211.4112,37.05149
211.2812,35.29673
211.1513,33.54196
211.0213,31.7872
209.6142,31.00505
207.9571,30.41325
206.3,29.82144
204.643,29.22963
202.9722,29.32119
201.2927,29.84602
199.6133,30.37086
197.9338,30.89569
196.2543,31.42053
196,30.00686
196,28.2473
196,26.48773
195.8575,24.76848
194.9353,23.26993
194.0132,21.77138
193.091,20.27283
192.1688,18.77428
190.7872,17.72823
189.3027,16.78356
187.8183,15.83889
186.3338,14.89422
184.8493,13.94955
183.3648,13.00489
181.8803,12.06022
180.4936,12.00636
179.2494,13.25056
178.0052,14.49476
176.761,15.73896
175.5168,16.98317
174.4277,18.31332
174.032,20.02782
173.6364,21.74233
173.2407,23.45684
172.8451,25.17135
172.4494,26.88586
172.0538,28.60037
171.6581,30.31487
171.3833,32.04998
171.189,33.79878
170.9947,35.54759
170.8004,37.2964
170.6061,39.0452
170.2474,40.7579
169.6909,42.42717
169.1345,44.09645
168.5781,45.76572
168.0217,47.43499
167.4652,49.10427
166.9088,50.77354
166.3524,52.44281
165.796,54.11209
165.6165,55.81535
165.8653,57.55723
166.1142,59.29912
166.363,61.041
166.6118,62.78289
166.8607,64.52477
167.1519,66.2594
167.497,67.9848
167.842,69.7102
168.1871,71.4356
168.5322,73.161
168.8773,74.8864
168.8276,76.62063
168.56,78.35974
168.2925,80.09884
168.0249,81.83795
166.6411,82.83626
165.1425,83.75844
163.644,84.68063
162.1454,85.60281
161.9827,86.87772
162.8307,88.41949
163.6787,89.96125
164.5267,91.50301
165.3746,93.04477
166.2226,94.58653
166.8875,96.09374
165.5358,97.22019
164.184,98.34663
164.0759,100.01811
164.1638,101.77548
164.2516,103.53285
164.3395,105.29023
164.4274,107.0476
164.532,108.80368
164.7162,110.55358
164.9004,112.30348
165.0846,114.05338
165.2688,115.80328
165.453,117.55318
165.677,119.29827
165.9148,121.0417
166.1525,122.78513
166.3903,124.52857
166.628,126.272
166.8657,128.01544
167.1046,129.75871
167.3451,131.50178
167.5855,133.24484
167.8259,134.98791
168.0663,136.73097
168.3068,138.47404
168.5472,140.21711
168.7876,141.96017
169.0918,143.6835
169.8787,145.25731
170.6656,146.83112
171.4525,148.40492
172.2394,149.97873
173.0263,151.55253
173.9789,153.01087
175.1824,154.29454
176.3858,155.57821
177.5893,156.86189
178.7927,158.14556
179.9962,159.42923
181.2216,160.68992
182.5575,161.83503
183.8935,162.98014
185.2295,164.12525
186.5654,165.27037
187.9014,166.41548
189.3142,167.46374
190.7331,168.50429
192.152,169.54483
193.571,170.58538
194.9899,171.62592
196.3482,172.74214
197.6724,173.90082
198.9966,175.0595
199.7366,176.56466
200.1183,178.28233
200.5,180
