X,Y
440,428
462.5,429.833
485.833,429.833
460.5,139.833
483.833,419.167
483.3962,416.8732
482.9594,414.5794
482.5226,412.2856
482.0858,409.9918
481.649,407.698
481.2122,405.4042
481.621,403.1233
482.1275,400.8438
482.6339,398.5644
483.1403,396.285
483.6467,394.0055
484.3812,391.7965
485.2485,389.6285
486.1158,387.4605
486.983,385.2926
487.8503,383.1246
488.7175,380.9566
489.2205,378.7094
489.3314,376.377
489.4424,374.0446
489.5533,371.7123
489.6643,369.3799
489.7752,367.0475
489.8603,364.7142
489.9173,362.3799
489.9742,360.0455
490.0312,357.7112
490.0882,355.3769
490.1451,353.0426
490.2021,350.7082
490.259,348.3739
490.316,346.0396
490.373,343.7053
490.4299,341.3709
490.4869,339.0366
490.4572,336.7023
490.4016,334.3679
490.346,332.0336
490.2904,329.6992
490.2347,327.3648
490.1791,325.0305
490.1235,322.6961
490.0679,320.3618
490.0123,318.0274
489.9567,315.6931
489.9011,313.3587
489.8455,311.0243
489.833,308.6895
489.833,306.3545
489.833,304.0194
489.833,301.6844
489.833,299.3494
489.833,297.0144
489.833,294.6794
489.833,292.3443
489.833,290.0093
489.833,287.6743
489.833,285.3393
489.833,283.0043
489.833,280.6692
489.833,278.3342
489.833,275.9992
489.8288,273.6642
489.7705,271.3299
489.7122,268.9957
489.6539,266.6614
489.5956,264.3271
489.5373,261.9928
489.479,259.6585
489.4207,257.3242
489.3624,254.9899
489.3041,252.6556
489.2458,250.3213
489.1875,247.987
489.0446,245.6572
488.8559,243.3298
488.6672,241.0025
488.4785,238.6751
488.2898,236.3477
488.1011,234.0203
487.9124,231.6929
487.7237,229.3656
487.535,227.0382
487.3463,224.7108
487.1632,222.3831
487.0879,220.0493
487.0126,217.7155
486.9373,215.3817
486.8619,213.0479
486.7866,210.7141
486.7113,208.3803
486.636,206.0465
486.5607,203.7127
486.4761,201.3792
486.3533,199.0475
486.2305,196.7157
486.1077,194.3839
485.9849,192.0521
485.8621,189.7203
485.4998,187.4175
485.063,185.1237
484.6262,182.8299
484.1894,180.5361
483.7526,178.2423
483.3158,175.9485
483.021,173.6345
482.7995,171.31
482.578,168.9855
482.3565,166.661
482.135,164.3365
481.9135,162.012
481.5591,159.7063
481.1288,157.4112
480.6985,155.1162
480.2682,152.8212
479.8379,150.5262
478.8778,148.3985
477.9116,146.2727
476.9454,144.147
475.4932,142.4118
473.6252,141.0108
471.7572,139.6097
469.5729,139.2665
467.2424,139.412
464.912,139.5575
462.5815,139.703
460.2589,139.8973
458.0028,140.499
455.7466,141.1007
453.4905,141.7024
451.2343,142.3042
449.4749,143.6959
447.9553,145.4687
446.4357,147.2416
444.916,149.0144
443.3964,150.7873
442.2677,152.7621
441.7014,155.0274
441.1351,157.2927
440.5688,159.558
440.0024,161.8233
439.4361,164.0886
438.8698,166.3539
438.5279,168.6429
438.6084,170.9765
438.689,173.3102
438.7695,175.6438
438.85,177.9774
438.9305,180.3111
439.011,182.6447
439.0915,184.9783
439.167,187.312
439.167,189.6471
439.167,191.9821
439.167,194.3171
439.167,196.6521
439.167,198.9871
439.167,201.3222
439.167,203.6572
439.167,205.9922
439.167,208.3272
438.9756,210.6499
438.6768,212.9657
438.3779,215.2816
438.079,217.5974
437.7802,219.9132
437.4813,222.229
437.1825,224.5448
436.8836,226.8606
436.5847,229.1764
436.5,231.506
436.5,233.841
436.5,236.1761
436.5,238.5111
436.5,240.8461
436.5,243.1811
436.5,245.5161
436.5,247.8512
436.4729,250.1851
436.2939,252.5133
436.1148,254.8414
435.9358,257.1696
435.7568,259.4977
435.5777,261.8259
435.3987,264.154
435.2197,266.4821
435.167,268.8151
435.167,271.1502
435.167,273.4852
435.167,275.8202
435.167,278.1552
435.167,280.4902
435.167,282.8253
435.167,285.1603
435.167,287.4953
435.132,289.8299
435.0705,292.1641
435.0091,294.4983
434.9476,296.8325
434.8862,299.1667
434.8247,301.5009
434.7632,303.8351
434.7018,306.1693
434.6403,308.5035
434.5789,310.8377
434.5174,313.172
434.6192,315.5025
434.7855,317.8316
434.9519,320.1607
435.1182,322.4898
435.2845,324.8188
435.4508,327.1479
435.6171,329.477
435.7834,331.8061
435.833,334.1394
435.833,336.4744
435.833,338.8094
435.833,341.1444
435.833,343.4794
435.833,345.8145
435.833,348.1495
435.833,350.4845
435.833,352.8195
435.833,355.1545
435.833,357.4896
435.833,359.8246
435.833,362.1596
435.833,364.4946
435.833,366.8296
435.833,369.1646
436.1026,371.4626
436.7322,373.7112
437.3618,375.9597
437.9914,378.2082
438.621,380.4568
439.2507,382.7053
439.8803,384.9538
440.5089,387.2026
441.0753,389.4679
441.6418,391.7332
442.2082,393.9984
442.7746,396.2637
443.102,398.5475
442.8905,400.8729
442.679,403.1983
442.4675,405.5237
442.256,407.8492
442.0445,410.1746
441.833,412.5
