x,y
285,473
299.167,473.167
312.5,475.833
302.5,341.167
382.833,473.5
382.833,472.7632
382.833,472.0264
382.833,471.2897
382.833,470.5529
382.833,469.8161
382.833,469.0793
382.952,468.3572
383.1307,467.6424
383.3093,466.9276
383.488,466.2128
383.6667,465.498
383.8576,464.788
384.2104,464.1412
384.5633,463.4944
384.9161,462.8476
385.269,462.2008
385.6219,461.554
385.8598,460.8723
385.9267,460.1386
385.9935,459.4048
386.0603,458.6711
386.1272,457.9373
385.9565,457.2895
385.4356,456.7686
385.2578,456.1548
385.4453,455.4422
385.6327,454.7297
385.8202,454.0171
386.0076,453.3046
386.195,452.5921
386.3825,451.8795
386.5699,451.167
386.7574,450.4544
386.9284,449.7379
387.0883,449.0187
387.2482,448.2995
387.4081,447.5803
387.2393,446.9931
386.6263,446.5842
386.0134,446.1754
385.536,445.7189
385.7579,445.0163
385.9798,444.3137
386.2017,443.6111
386.4236,442.9085
386.6454,442.206
386.8673,441.5034
387.0892,440.8008
387.3111,440.0982
387.4632,439.3969
387.2154,438.7031
386.9675,438.0092
386.7197,437.3154
386.4718,436.6215
386.224,435.9277
385.9762,435.2338
385.8569,434.5228
385.9135,433.7882
385.9702,433.0536
386.0268,432.319
386.0834,431.5844
386.14,430.8498
386.0733,430.1256
385.8945,429.4108
385.7158,428.696
385.537,427.9813
385.3582,427.2665
385.1794,426.5518
385.0006,425.837
384.8265,425.1213
384.7223,424.3919
384.6181,423.6626
384.514,422.9332
384.4098,422.2038
384.3057,421.4744
384.2015,420.745
384.0973,420.0157
383.9932,419.2863
383.889,418.5569
383.7848,417.8275
383.6807,417.0981
383.5765,416.3687
383.4616,415.6412
383.317,414.9187
383.1725,414.1963
383.0279,413.4738
382.8833,412.7514
382.754,412.0261
382.6329,411.2993
382.5118,410.5726
382.3907,409.8458
382.2697,409.1191
382.1486,408.3923
382.0275,407.6655
381.9064,406.9388
381.7853,406.212
381.6642,405.4852
381.5431,404.7585
381.5,404.0253
381.5,403.2885
381.5,402.5517
381.5,401.8149
381.5,401.0781
381.5,400.3414
381.5,399.6046
381.5,398.8678
381.5,398.131
381.5,397.3942
381.5,396.6574
380.9726,396.2602
380.3019,395.9553
379.6311,395.6504
378.9604,395.3455
378.2897,395.0406
377.6181,394.7375
376.9448,394.4384
376.2715,394.1392
375.5982,393.84
374.9249,393.5408
374.2516,393.2417
373.5783,392.9425
372.905,392.6433
372.2317,392.3441
371.5325,392.167
370.7957,392.167
370.0589,392.167
369.3221,392.167
368.5853,392.167
367.8486,392.167
367.1216,392.1984
366.5158,392.6178
365.91,393.0371
365.3042,393.4565
364.6984,393.8758
364.0926,394.2951
363.4868,394.7145
362.8809,395.1338
362.4033,395.6921
361.9367,396.2623
361.4701,396.8325
361.0035,397.4027
360.5369,397.9729
360.0703,398.543
359.9069,399.1875
360.0572,399.9088
360.2075,400.6301
360.3578,401.3514
360.5081,402.0727
360.6584,402.794
360.8087,403.5152
360.959,404.2365
361.1093,404.9578
361.2596,405.6791
361.4099,406.4004
361.5345,407.1259
361.6206,407.8576
361.7067,408.5893
361.7928,409.3211
361.879,410.0528
361.9651,410.7845
362.0512,411.5163
362.1373,412.248
362.1348,412.982
362.0857,413.7171
362.0366,414.4522
361.9875,415.1874
361.9384,415.9225
361.8893,416.6577
361.8402,417.3928
361.7636,418.1255
361.6823,418.8578
361.601,419.5901
361.5197,420.3224
361.4384,421.0547
361.3571,421.7869
361.2759,422.5192
361.1946,423.2515
361.1323,423.9855
361.0797,424.7204
361.0271,425.4553
360.9745,426.1902
360.9219,426.9251
360.8693,427.66
360.7642,428.3849
360.5423,429.0875
360.3204,429.7901
360.0985,430.4927
359.8767,431.1952
359.6548,431.8978
359.4329,432.6004
359.211,433.303
358.9892,434.0055
358.833,434.7183
358.833,435.455
358.833,436.1918
358.833,436.9286
358.833,437.6654
358.833,438.4022
358.833,439.139
358.833,439.8757
358.833,440.6125
358.9343,441.3393
359.0787,442.0617
359.2232,442.7842
359.3677,443.5067
359.5122,444.2292
359.6567,444.9516
359.8012,445.6741
359.4546,446.2656
358.9695,446.8201
358.4844,447.3747
357.9993,447.9292
357.5142,448.4838
357.7905,449.1536
358.0898,449.8269
358.3891,450.5001
358.6883,451.1734
358.9876,451.8467
359.2869,452.5199
359.5861,453.1932
359.8854,453.8665
360.1826,454.5406
360.447,455.2283
360.7114,455.916
360.9758,456.6037
361.2403,457.2914
361.5047,457.9791
361.7691,458.6668
361.6257,459.3518
361.3524,460.036
361.2503,460.722
361.509,461.4119
361.7677,462.1018
362.0264,462.7916
362.2851,463.4815
362.5438,464.1714
362.8026,464.8612
363.0613,465.5511
363.3159,466.2425
363.5676,466.9349
363.8193,467.6274
364.071,468.3198
364.3227,469.0123
364.5744,469.7047
364.8261,470.3972
365.0779,471.0896
365.3296,471.7821
365.5813,472.4745
365.833,473.167
