X,Y
256,308
270.167,305.5
284.167,304.833
250.833,160.833
284.833,294.167
284.833,292.8822
284.833,291.5975
284.833,290.3127
284.833,289.0279
284.833,287.7431
284.3672,286.5683
283.7926,285.4192
283.218,284.27
282.833,283.0762
282.833,281.7914
282.833,280.5066
282.833,279.2218
282.833,277.9371
282.833,276.6523
282.833,275.3675
282.833,274.0827
282.833,272.798
282.833,271.5132
282.833,270.2284
282.833,268.9436
282.833,267.6589
282.833,266.3741
282.833,265.0893
282.833,263.8045
282.909,262.5291
283.2206,261.2827
283.5322,260.0363
283.8438,258.7899
284.1554,257.5435
284.467,256.2971
284.7786,255.0506
285.0552,253.7961
285.3244,252.5398
285.5936,251.2836
285.8628,250.0273
286.132,248.7711
286.4012,247.5148
286.6704,246.2586
286.5711,245.0636
285.9101,243.9619
285.249,242.8603
284.7396,241.7
284.4877,240.4401
284.2358,239.1803
283.9839,237.9204
283.7321,236.6606
283.4802,235.4008
283.2283,234.1409
282.9764,232.8811
282.7245,231.6212
282.4726,230.3614
282.2207,229.1016
281.6654,227.9554
281.0278,226.8399
280.3902,225.7245
279.7527,224.6091
279.5,223.3914
279.5,222.1067
279.5,220.8219
279.5,219.5371
279.5,218.2523
280.0825,217.1185
280.7063,215.9954
281.3302,214.8722
281.9541,213.7491
282.578,212.626
282.4933,211.4874
281.9189,210.3382
281.3446,209.189
280.7702,208.0398
280.1958,206.8905
279.2403,206.0388
278.2648,205.2027
277.2893,204.3666
276.3138,203.5305
275.5,202.6201
275.5,201.3353
275.5,200.0505
275.5,198.7657
275.5,197.481
275.5,196.1962
275.5,194.9114
275.5,193.6266
275.5,192.3419
275.5,191.0571
275.5,189.7723
275.4251,188.4958
275.1463,187.2416
274.8676,185.9874
274.5888,184.7333
274.3101,183.4791
274.0314,182.2249
273.7526,180.9707
273.4739,179.7166
273.1951,178.4624
272.9164,177.2082
272.6671,175.948
272.4303,174.6853
272.1935,173.4225
271.9567,172.1597
271.7199,170.897
271.4831,169.6342
271.2464,168.3714
271.0096,167.1087
270.833,165.8403
270.833,164.5555
270.833,163.2707
270.833,161.986
270.833,160.7012
270.833,159.4164
270.833,158.1316
270.833,156.8469
270.229,156.1334
268.9462,156.0621
267.6634,155.9908
266.3806,155.9195
265.0979,155.8482
263.8151,155.7769
262.5323,155.7056
261.2495,155.6343
259.9667,155.563
258.7087,155.5828
257.6397,156.2955
256.5707,157.0081
255.5017,157.7207
254.4327,158.4334
253.3636,159.146
252.2946,159.8586
251.2256,160.5713
250.2085,161.3534
249.2215,162.176
248.2346,162.9985
247.2476,163.821
246.2606,164.6435
245.2737,165.466
244.2867,166.2885
243.2997,167.1111
242.4918,168.085
241.8445,169.1948
241.1972,170.3046
240.5499,171.4144
239.9026,172.5242
239.2553,173.634
238.608,174.7438
238.2965,175.8884
238.7027,177.1072
239.109,178.3261
239.5153,179.5449
239.9216,180.7637
239.8073,181.8597
238.8988,182.7682
237.9904,183.6766
237.0819,184.5851
236.1734,185.4936
236.4021,186.7539
236.6389,188.0166
236.8756,189.2794
237.1124,190.5422
237.3491,191.8049
237.5859,193.0677
237.8227,194.3305
238.0594,195.5933
238.0378,196.856
237.801,198.1188
237.5642,199.3816
237.3274,200.6443
237.0907,201.9071
236.8539,203.1699
236.6171,204.4326
236.3803,205.6954
236.1579,206.96
236.0663,208.2415
235.9748,209.523
235.8832,210.8045
235.7916,212.086
235.7,213.3675
235.6085,214.6491
235.5169,215.9306
236.4575,216.5924
237.6316,217.1141
238.8056,217.6358
239.9797,218.1575
241.1538,218.6792
241.9051,219.6433
242.4796,220.7925
243.0541,221.9417
243.6286,223.0909
244.2031,224.24
244.7776,225.3892
244.833,226.6609
244.833,227.9457
244.833,229.2305
244.833,230.5152
244.833,231.8
244.833,233.0848
244.833,234.3696
244.833,235.6543
244.833,236.9391
244.833,238.2239
244.833,239.5087
244.833,240.7934
244.833,242.0782
244.833,243.363
244.833,244.6478
244.833,245.9325
244.833,247.2173
244.8773,248.4991
245.0472,249.7726
245.2171,251.0461
245.387,252.3196
245.5568,253.5931
245.7267,254.8666
245.8966,256.1401
246.0665,257.4136
246.167,258.6917
246.167,259.9765
246.167,261.2612
246.167,262.546
246.167,263.8308
246.167,265.1156
246.167,266.4003
246.4662,267.6309
246.9173,268.8338
247.3684,270.0368
247.8195,271.2398
248.2706,272.4428
248.7217,273.6457
249.1728,274.8487
249.6239,276.0517
250.075,277.2547
250.511,278.4632
250.9431,279.6731
251.3752,280.8831
251.8072,282.093
252.2393,283.3029
252.6714,284.5129
253.1035,285.7228
253.4665,286.9335
253.0603,288.1523
252.6541,289.3712
252.2479,290.5901
252.2354,291.8595
252.3207,293.1414
252.4061,294.4233
252.4915,295.7053
252.5769,296.9872
252.6622,298.2691
252.7476,299.5511
252.833,300.833
