X,Y
222,408
235.833,411.167
246.5,410.5
253.167,240.5
252.5,403.833
252.663,402.3657
252.826,400.8984
252.989,399.4312
253.152,397.9639
253.315,396.4966
253.4779,395.0293
253.6409,393.562
253.8039,392.0948
253.833,390.6201
253.833,389.1438
253.833,387.6675
253.833,386.1912
253.833,384.7149
253.833,383.2385
253.833,381.7622
254.0862,380.3231
254.5104,378.909
254.9345,377.495
255.3587,376.0809
255.7829,374.6669
256.2071,373.2529
256.6313,371.8388
257.0555,370.4248
257.4797,369.0107
257.833,367.5862
257.833,366.1099
257.833,364.6336
257.833,363.1573
257.833,361.681
257.833,360.2047
257.833,358.7284
257.833,357.2521
257.833,355.7758
257.833,354.2995
258.3166,352.9465
259.0235,351.6505
259.7305,350.3545
260.4374,349.0584
261.1444,347.7624
261.8229,346.4631
261.4345,345.0388
261.046,343.6145
260.6575,342.1902
260.2691,340.7659
259.8806,339.3416
259.833,337.8717
259.833,336.3954
259.833,334.9191
259.833,333.4428
259.833,331.9665
259.833,330.4902
259.833,329.0139
259.833,327.5376
259.833,326.0613
259.833,324.585
259.833,323.1087
259.833,321.6324
259.833,320.1561
259.833,318.6798
259.833,317.2035
259.833,315.7272
259.833,314.2509
259.833,312.7746
259.833,311.2982
259.8753,309.8233
259.9674,308.3498
260.0596,306.8764
260.1517,305.403
260.2438,303.9296
260.336,302.4561
260.4281,300.9827
260.5,299.5086
260.5,298.0323
260.5,296.556
260.5,295.0797
260.5,293.6034
260.5,292.1271
260.5,290.6508
260.5,289.1745
260.5,287.6982
260.5,286.2219
260.6527,284.7743
261.1879,283.3983
261.723,282.0224
262.2581,280.6465
262.7932,279.2706
263.3283,277.8947
263.8634,276.5188
264.3985,275.1429
264.9337,273.767
265.6444,272.4849
266.4909,271.2754
267.3374,270.0659
268.1839,268.8564
269.0304,267.6469
269.8902,266.4492
270.9936,265.4684
272.097,264.4877
273.2005,263.5069
274.3039,262.5261
275.4073,261.5454
275.4469,260.3465
274.8184,259.0107
274.1898,257.6749
273.5613,256.3391
272.9328,255.0032
272.3042,253.6674
271.6757,252.3316
271.0471,250.9958
270.349,249.7156
269.1837,248.8093
268.0183,247.903
266.8529,246.9968
265.6875,246.0905
264.5221,245.1842
263.1608,244.6155
261.7957,244.0534
260.4306,243.4912
259.0656,242.9291
257.7005,242.3669
256.3354,241.8048
254.9703,241.2426
253.6052,240.6805
252.1985,240.2417
250.772,239.8613
249.3456,239.4808
247.9191,239.1004
246.4927,238.72
245.0662,238.3395
243.6398,237.9591
242.18,237.833
240.7037,237.833
239.2274,237.833
237.7511,237.833
236.2748,237.833
234.7985,237.833
233.3222,237.833
231.9837,238.2346
230.8184,239.141
229.6531,240.0474
228.4878,240.9538
227.3225,241.8602
226.1276,242.7234
224.8617,243.4829
223.5957,244.2425
222.3298,245.002
221.0639,245.7615
219.8303,246.5408
219.7322,248.0139
219.6341,249.4869
219.536,250.9599
219.4379,252.433
219.3398,253.906
219.2417,255.3791
219.225,256.8481
219.4677,258.3043
219.7104,259.7605
219.9531,261.2167
220.1958,262.6729
220.4385,264.1292
220.6812,265.5854
220.9239,267.0416
221.1666,268.4978
221.4428,269.9481
221.7189,271.3983
221.9951,272.8486
222.2713,274.2988
222.5474,275.749
222.8236,277.1993
223.0998,278.6495
223.3759,280.0998
223.6521,281.55
223.833,283.0092
223.833,284.4856
223.833,285.9619
223.833,287.4382
223.833,288.9145
223.833,290.3908
223.833,291.8671
223.833,293.3434
223.833,294.8197
223.833,296.296
223.833,297.7723
223.833,299.2486
223.841,300.7248
223.8937,302.2001
223.9465,303.6755
223.9992,305.1508
224.0519,306.6262
224.1046,308.1016
224.1573,309.5769
224.21,311.0523
224.2628,312.5277
224.3155,314.003
224.3682,315.4784
224.4209,316.9537
224.4736,318.4291
224.5264,319.9045
224.5791,321.3798
224.6318,322.8552
224.6845,324.3306
224.7372,325.8059
224.79,327.2813
224.8427,328.7566
224.8954,330.232
224.9481,331.7074
225.0008,333.1827
225.0535,334.6581
225.1063,336.1335
225.159,337.6088
225.167,339.085
225.167,340.5613
225.167,342.0376
225.167,343.5139
225.167,344.9902
225.167,346.4665
225.167,347.9428
225.167,349.4191
225.167,350.8954
225.1387,352.371
225.061,353.8452
224.9834,355.3195
224.9058,356.7938
224.8282,358.268
224.7505,359.7423
224.6729,361.2166
224.5953,362.6908
224.5176,364.1651
224.5,365.6409
224.5,367.1172
224.5,368.5935
224.5,370.0698
224.5,371.5461
224.5,373.0224
224.5,374.4987
224.5,375.975
224.5,377.4513
224.5,378.9277
224.5,380.404
224.5,381.8803
224.5,383.3566
224.5,384.8329
224.5,386.3092
224.5,387.7855
224.5,389.2618
224.5,390.7381
224.5,392.2144
224.5,393.6907
224.5,395.167
