X,Y
317,341
330.5,337.833
345.833,337.833
329.833,180.5
346.5,325.833
346.5,324.3314
346.5,322.8298
346.5,321.3282
346.5,319.8265
346.5,318.3249
346.5,316.8233
346.5,315.3217
346.5,313.8201
346.544,312.3239
346.9082,310.8671
347.2724,309.4103
347.6365,307.9535
348.0007,306.4968
348.3649,305.04
348.729,303.5832
349.0932,302.1264
349.4574,300.6696
349.8215,299.2128
349.9095,297.7146
349.9884,296.2151
350.0674,294.7156
350.1464,293.216
350.2253,291.7165
350.3043,290.217
350.3832,288.7174
350.4622,287.2179
350.8884,285.8204
351.6334,284.5167
352.3784,283.2129
353.1235,281.9092
352.2836,280.729
351.3455,279.5566
350.5173,278.3526
350.6927,276.8613
350.8682,275.3699
351.0436,273.8786
351.219,272.3873
351.3944,270.8959
351.5698,269.4046
351.7452,267.9133
351.833,266.4168
351.833,264.9152
351.833,263.4136
351.833,261.912
351.833,260.4104
351.833,258.9087
351.833,257.4071
351.833,255.9055
351.4128,254.4671
350.9713,253.0318
350.5297,251.5966
350.0882,250.1614
349.6467,248.7261
349.2051,247.2909
348.8978,245.8217
348.6032,244.3493
348.3086,242.8768
348.014,241.4044
347.7849,239.9227
347.6602,238.4263
347.5356,236.9299
347.4109,235.4334
347.2862,233.937
347.1616,232.4406
347.0369,230.9442
346.9122,229.4477
346.7875,227.9513
346.6629,226.4549
346.5382,224.9584
346.5,223.4584
346.5,221.9568
346.5,220.4552
346.5,218.9536
346.5,217.452
346.5,215.9504
346.5,214.4487
346.5,212.9471
346.5,211.4455
346.7118,209.9858
347.2835,208.5973
347.8553,207.2088
348.4271,205.8203
348.9989,204.4318
349.5707,203.0433
350.1425,201.6549
350.7143,200.2664
351.3008,198.8844
351.9437,197.5274
352.5865,196.1703
353.2293,194.8132
353.8721,193.4561
354.5149,192.0991
355.1577,190.742
355.8005,189.3849
356.4433,188.0279
357.0861,186.6708
357.167,185.1874
357.167,183.6857
357.167,182.1841
356.6874,181.0985
355.2009,180.886
353.7144,180.6736
352.2279,180.4611
350.7414,180.2487
349.2549,180.0362
347.7677,179.8354
346.2671,179.891
344.7666,179.9466
343.266,180.0022
341.7654,180.0578
340.2648,180.1134
338.7642,180.169
337.2636,180.2247
335.7631,180.2803
334.2625,180.3359
332.7619,180.3915
331.2613,180.4471
329.7607,180.4975
328.26,180.4457
326.7593,180.394
325.2586,180.3422
323.7578,180.2904
322.2571,180.2386
320.7564,180.1869
319.2557,180.1351
317.755,180.0833
316.2542,180.0315
314.7535,179.9797
313.2528,179.928
311.7521,179.8762
310.2513,179.841
308.7505,179.8895
307.2497,179.9379
305.7488,179.9863
304.248,180.0348
302.7472,180.0832
301.2464,180.1316
299.7455,180.1801
298.2447,180.2285
296.7439,180.277
295.243,180.3254
293.7422,180.3738
292.2414,180.4223
290.7405,180.4707
289.6801,181.0736
289.2933,182.5245
288.9064,183.9754
288.5196,185.4264
288.1328,186.8773
287.746,188.3283
287.3592,189.7792
287.3344,191.2368
287.6672,192.7011
287.9999,194.1654
288.3327,195.6297
288.6654,197.094
288.9982,198.5582
289.3309,200.0225
289.6637,201.4868
289.9964,202.9511
290.3292,204.4154
290.9456,205.7462
291.8612,206.9364
292.7769,208.1266
293.6925,209.3167
294.6081,210.5069
295.5237,211.697
296.4394,212.8872
297.2815,214.1192
297.8392,215.5135
298.3969,216.9077
298.9546,218.3019
299.5122,219.6961
300.0699,221.0903
300.6276,222.4845
301.1853,223.8787
301.743,225.2729
302.3007,226.6672
302.8583,228.0614
303.416,229.4556
303.9737,230.8498
304.5314,232.244
305.0891,233.6382
304.8537,235.0863
304.4894,236.543
304.1252,237.9998
303.761,239.4566
303.3967,240.9133
303.0325,242.3701
302.6683,243.8269
302.2164,245.2563
301.6891,246.6623
301.1618,248.0683
300.6345,249.4743
300.9483,250.8577
301.5502,252.2335
302.1521,253.6092
302.754,254.9849
303.3559,256.3606
303.9578,257.7363
304.5597,259.112
305.1616,260.4877
305.3595,261.9757
305.5537,263.4647
305.7479,264.9537
305.9421,266.4427
306.1364,267.9317
306.3306,269.4207
306.5248,270.9097
306.719,272.3987
306.9133,273.8877
307.1075,275.3767
307.167,276.8744
307.167,278.376
307.167,279.8776
307.167,281.3793
307.167,282.8809
307.167,284.3825
307.2117,285.8827
307.3053,287.3814
307.3989,288.8801
307.4924,290.3788
307.586,291.8775
307.6796,293.3762
307.7732,294.8749
307.9221,296.3672
308.169,297.8484
308.4159,299.3296
308.6628,300.8108
308.9097,302.2919
309.1566,303.7731
309.4035,305.2543
309.6504,306.7355
309.8974,308.2166
310.1443,309.6978
310.3912,311.179
310.6381,312.6602
310.885,314.1413
311.1319,315.6225
311.3411,317.1094
311.5439,318.5972
311.7468,320.0851
311.9497,321.5729
312.1526,323.0608
312.3555,324.5486
312.5584,326.0365
312.7612,327.5243
312.9641,329.0122
313.167,330.5
